                         mean          sd         5.5%         94.5%      rhat
z_host[77]       7.604598e-02 0.994697964 -1.530955995  1.6407284315 1.0052201
z_host[78]       9.343033e-02 0.982013716 -1.484654035  1.6679634005 1.0014054
z_host[79]      -1.669846e-01 0.638441671 -1.194158217  0.8416293543 1.0004347
z_host[80]       4.980682e-01 0.216074279  0.156241618  0.8438083764 1.0010355
z_host[81]       6.960212e-02 0.959737275 -1.476587175  1.6161116465 1.0038979
z_host[82]       1.278889e-01 0.953604994 -1.384395379  1.6672300080 1.0005332
z_host[83]       1.206788e-01 0.959799312 -1.439875289  1.6560201820 1.0011768
z_host[84]       1.009019e-02 0.947925125 -1.524273364  1.4983687650 1.0001795
z_host[85]       8.419340e-02 0.977432652 -1.477880067  1.6533210360 1.0016472
z_host[86]       5.948286e-01 0.567148695 -0.324585039  1.5006970670 1.0011127
z_host[87]       7.257506e-01 0.567165097 -0.182289833  1.6245554300 1.0018599
z_host[88]       3.668937e-01 0.726797237 -0.791940381  1.5371947525 1.0009839
z_host[89]       1.018729e+00 0.521394509  0.174898013  1.8532495210 1.0013732
z_host[90]       2.718657e-01 0.939051590 -1.226529432  1.7659141210 1.0000830
z_host[91]       1.252506e-01 0.979716529 -1.440815133  1.6819499370 1.0019098
z_host[92]       1.696606e-01 0.857904443 -1.226054644  1.5383412360 1.0037464
z_host[93]       1.725044e-01 0.931121889 -1.281907417  1.6538562625 1.0019166
z_host[94]       1.642848e-01 0.979701024 -1.379645733  1.7177426405 1.0017581
z_host[95]       7.679209e-01 0.647395424 -0.262368693  1.8009637810 1.0011996
z_host[96]       4.389216e-01 0.801922506 -0.841691504  1.7148052740 0.9993311
z_host[97]      -4.529991e-01 0.501445516 -1.248073953  0.3349717499 1.0011962
z_host[98]      -3.171496e-01 0.845996207 -1.640134218  1.0336407065 1.0017153
z_host[99]      -4.979921e-01 0.931578568 -2.005799942  0.9732651582 1.0002677
z_host[100]      2.965473e-01 0.909174601 -1.157866695  1.7138508360 1.0014135
z_host[101]      7.116897e-02 0.984731173 -1.492716912  1.6134736760 1.0007176
z_host[102]      2.835025e-01 0.732145330 -0.889883852  1.4441321890 0.9995640
z_host[103]     -1.854063e-01 0.902834107 -1.641016696  1.2642862735 1.0005586
z_host[104]      1.381825e-01 0.975361922 -1.368464569  1.7030255260 1.0020525
z_host[105]      8.734485e-01 0.616687974 -0.123297061  1.8497260915 0.9999625
z_host[106]      1.048662e-01 0.857846277 -1.257768101  1.5055667290 1.0063311
z_host[107]      2.409476e-01 0.919391644 -1.209266819  1.7073680800 1.0001592
z_host[108]      1.300723e-01 0.969747780 -1.444448837  1.6578902225 1.0017094
z_host[109]      2.672354e-01 0.884368788 -1.143459095  1.6714329165 1.0005581
z_host[110]     -1.986378e-01 0.877622172 -1.600475537  1.1971696145 1.0030970
z_host[111]      8.063964e-02 0.974562964 -1.471531241  1.6553197325 1.0017388
z_host[112]      7.182485e-01 0.456704015 -0.022426357  1.4441344370 1.0012378
z_host[113]      7.911364e-02 0.993334399 -1.518714548  1.6631405535 1.0006883
z_host[114]      3.338111e-01 0.878857393 -1.094936263  1.7405681610 1.0018761
z_host[115]      1.418378e-01 0.888530347 -1.256177827  1.5490444100 1.0024878
z_host[116]      1.229945e-02 0.915116359 -1.433765697  1.4335486870 1.0019306
z_host[117]      4.137124e-01 0.868701248 -0.978651932  1.7873706725 1.0019512
z_host[118]     -1.584063e+00 0.380052831 -2.199870276 -0.9856600470 1.0012679
z_host[119]      1.187062e-01 0.983451897 -1.447876077  1.6928982750 1.0022920
