                         mean          sd          5.5%        94.5%      rhat
z_listing[92]   -0.1330033545 0.973611329 -1.6910721805  1.413340701 1.0003700
z_listing[93]    0.5765922826 0.726193911 -0.5876589599  1.726250320 1.0022356
z_listing[94]    0.4522856241 0.849623278 -0.8788659593  1.835190238 1.0024906
z_listing[95]    0.2433957618 0.682619974 -0.8393657408  1.316063544 1.0003378
z_listing[96]    0.8241742991 0.625347579 -0.1793935532  1.819821477 1.0004386
z_listing[97]   -0.0135156135 0.980970130 -1.5888877610  1.547771641 1.0016629
z_listing[98]    0.2400993491 0.662929194 -0.7952843171  1.300884236 1.0042748
z_listing[99]    0.0809659518 0.993708041 -1.5153912080  1.685359501 1.0002815
z_listing[100]   0.1766981514 1.004964471 -1.4251482675  1.797230909 1.0007183
z_listing[101]  -0.0696367016 0.986626798 -1.6831737995  1.515324072 1.0013798
z_listing[102]   0.9119428254 0.591062348 -0.0243637346  1.848164453 1.0014865
z_listing[103]  -0.6387874669 0.957282730 -2.1688015390  0.862946219 1.0015282
z_listing[104]  -0.6401171583 0.678756329 -1.7281311700  0.447291474 1.0019535
z_listing[105]   0.6690555994 0.818778613 -0.6354309052  1.980732279 1.0044632
z_listing[106]   0.3130029179 0.439988139 -0.3965774156  1.025373046 1.0012436
z_listing[107]   0.0173304357 0.525755626 -0.8045566017  0.848077797 1.0005977
z_listing[108]   0.1123809984 0.981773342 -1.4533507585  1.671731357 1.0000641
z_listing[109]   0.0751921633 0.980070520 -1.5045519635  1.650933160 1.0001578
z_listing[110]   0.2653333640 0.929483608 -1.2255615885  1.771213565 1.0007752
z_listing[111]   0.5953725995 0.839359938 -0.7343124652  1.961436512 1.0001413
z_listing[112]   0.4421132301 0.854892007 -0.9011396267  1.822710559 1.0009995
z_listing[113]   0.5117779847 0.524447126 -0.3110339783  1.363176215 1.0001583
z_listing[114]  -0.0515113452 0.967495815 -1.5758914645  1.471215655 1.0005258
z_listing[115]   0.3394663313 0.924204810 -1.1195248725  1.817896386 1.0007847
z_listing[116]   0.2219246424 0.925361199 -1.2363717245  1.681912315 1.0012099
z_listing[117]  -0.4242128694 0.653953228 -1.4589478830  0.635970574 1.0024119
z_listing[118]   0.0686509870 1.012351470 -1.5356506310  1.661734006 1.0030062
z_listing[119]   0.0582148705 0.995048693 -1.5060200325  1.589307900 1.0002210
z_listing[120]  -0.5122301664 0.949439155 -2.0441589030  0.988742274 1.0003213
z_listing[121]  -0.2048789320 0.915313194 -1.6593834285  1.227429666 1.0009393
z_listing[122]   0.3469935184 0.917660947 -1.1035227115  1.838217991 0.9998055
z_listing[123]   0.4872545068 0.721919703 -0.6955432424  1.689971986 1.0020639
z_listing[124]   0.1181716106 0.974917195 -1.4510928765  1.673049959 1.0016543
z_listing[125]   0.4582468595 0.863171512 -0.9095362637  1.821170078 1.0013913
z_listing[126]   0.3379821889 0.706676831 -0.7769234403  1.457565124 1.0053384
z_listing[127]  -0.4337266143 0.978129477 -2.0093719760  1.144529818 1.0015979
z_listing[128]  -0.0991010187 0.709975650 -1.2199696020  1.040444107 1.0004031
z_listing[129]   0.1216413757 1.002334238 -1.4632538710  1.735030851 0.9999697
z_listing[130]   0.3819996907 0.741214806 -0.8294114471  1.558636022 1.0020524
z_listing[131]   0.0177933209 0.472621105 -0.7297545687  0.774409620 1.0032600
z_listing[132]  -0.1669388629 0.848211562 -1.5327072195  1.187176641 1.0009419
z_listing[133]   0.0572230191 0.954869669 -1.4883685035  1.583060451 1.0023244
z_listing[134]  -0.4139168649 0.979756203 -1.9711365040  1.146200969 1.0008773
z_listing[135]  -1.1537378946 0.543742635 -2.0182574705 -0.298056548 1.0031172
z_listing[136]   0.3187554408 0.965788950 -1.2666372795  1.858188223 1.0003182
z_listing[137]   0.1027765459 0.979657178 -1.4506155470  1.648102364 1.0022898
z_listing[138]  -0.3622350877 0.593587073 -1.3148205505  0.609144125 1.0017375
z_listing[139]  -0.1703528504 0.896437807 -1.6101451325  1.254423918 1.0006539
z_listing[140]   0.4185127292 0.823540447 -0.8658896647  1.724888305 1.0004248
z_listing[141]   0.0416227924 0.943641865 -1.4577072695  1.568153659 1.0026288
z_listing[142]   0.0195708126 0.840214721 -1.3028384700  1.355251877 1.0010901
z_listing[143]   0.0042340479 0.941981321 -1.5470991080  1.482344201 1.0006940
z_listing[144]   0.1832005218 0.764122248 -1.0424625250  1.398539442 1.0007298
z_listing[145]  -0.5180544945 0.958498877 -2.0840628035  1.005017214 1.0016723
z_listing[146]  -0.0050249902 0.955118936 -1.5269496425  1.539669804 1.0021064
z_listing[147]   0.0713196827 0.995335764 -1.4706743145  1.629733913 1.0010823
z_listing[148]  -0.0569799798 0.969799875 -1.6313095490  1.504301237 1.0018394
z_listing[149]   0.0710988322 0.987087651 -1.5107268630  1.642129872 1.0006775
z_listing[150]  -0.5159183183 0.909206914 -1.9607381090  0.965541177 0.9999033
z_listing[151]   0.0459263922 0.753309557 -1.1364770695  1.248495765 1.0002090
z_listing[152]   0.3203862144 0.807190875 -0.9705490851  1.616196654 1.0022329
z_listing[153]  -0.3180380306 0.996449838 -1.9240356255  1.279943732 1.0009112
z_listing[154]   0.5417317446 0.789396136 -0.7172580034  1.770633022 1.0017753
z_listing[155]  -0.2510077915 0.963564458 -1.8190458060  1.331746185 1.0000994
z_listing[156]   0.1126017717 0.942276536 -1.4145965030  1.652525053 1.0005855
z_listing[157]  -0.0333823200 0.975669358 -1.5870644055  1.509454152 0.9999425
z_listing[158]   0.1467903862 0.944497283 -1.3528444265  1.638325326 1.0003382
z_listing[159]   0.0820693796 0.869475982 -1.3167248625  1.474015965 1.0003019
z_listing[160]  -0.3586588454 0.637721697 -1.3872209425  0.649234079 1.0006744
z_listing[161]   0.7405751817 0.707043003 -0.3910160009  1.880002820 1.0012086
z_listing[162]  -0.0841840270 0.773731706 -1.3284676890  1.156585904 1.0045486
z_listing[163]   0.0689514153 0.975627824 -1.5218417970  1.616448175 1.0008011
z_listing[164]   0.0701103564 1.026459837 -1.5504424395  1.667700877 1.0005464
z_listing[165]  -0.0793706373 0.991853609 -1.6607179475  1.507314904 0.9999663
z_listing[166]  -0.6385397587 0.947330754 -2.1112399900  0.882320437 0.9995267
z_listing[167]  -1.1743778927 0.732907615 -2.3560758810 -0.005789374 0.9997322
z_listing[168]  -0.6701691097 0.944694015 -2.1640673530  0.845435581 1.0007375
z_listing[169]   0.0713607550 1.005469186 -1.5318493630  1.704989803 1.0006780
z_listing[170]   0.0128377078 0.926718779 -1.4958066675  1.559073419 1.0027147
z_listing[171]  -0.0914227745 0.582499754 -1.0199484220  0.820356502 1.0017567
z_listing[172]  -0.1896915714 0.986803859 -1.8109282445  1.397335018 1.0013055
z_listing[173]  -0.4189263071 1.003983110 -2.0441220120  1.180661548 1.0016642
z_listing[174]  -0.1741336232 0.981819841 -1.7030315350  1.398061377 1.0039933
z_listing[175]  -0.4272976702 1.002382017 -2.0399109765  1.170765953 1.0010896
z_listing[176]  -0.0811959554 1.004975093 -1.7175493320  1.528772834 1.0005463
z_listing[177]   0.5260620703 0.819263228 -0.7778924567  1.829538913 1.0007898
z_listing[178]  -0.0670934824 0.970838132 -1.6523631115  1.501727483 1.0029319
z_listing[179]  -0.4382662535 1.030665380 -2.0709895190  1.215537750 0.9992866
z_listing[180]  -0.0447016731 0.970393000 -1.5753661465  1.520772994 1.0025209
z_listing[181]  -0.2972567189 1.000099073 -1.9369023395  1.283767696 1.0022004
z_listing[182]   0.1369041993 0.982031719 -1.4256706465  1.699953904 1.0031433
z_listing[183]  -0.1273527827 0.797577984 -1.3931398310  1.122391944 0.9999853
z_listing[184]   0.4250777611 0.892025935 -0.9859828574  1.875989227 1.0004683
z_listing[185]   0.0359889108 0.688305109 -1.0603890555  1.137663924 1.0011747
z_listing[186]  -0.0557795222 1.003719406 -1.6780835535  1.572616213 1.0027398
z_listing[187]   0.0617045926 0.981260995 -1.5179589075  1.613592598 1.0006633
z_listing[188]   0.0765058472 0.971466199 -1.4732024625  1.618201266 1.0006405
z_listing[189]   0.4424831376 0.885296753 -0.9568181137  1.821962876 1.0016675
z_listing[190]   0.1135669929 1.010346010 -1.5280372215  1.693651590 1.0012348
z_listing[191]   0.5646150597 0.713206838 -0.5922334072  1.700402819 1.0014562
z_listing[192]   0.3533267011 0.877877036 -1.0396087020  1.730471836 1.0018152
z_listing[193]   0.6797330142 0.791007908 -0.5889289552  1.950610646 1.0004949
z_listing[194]   0.2554123815 0.943432589 -1.2481517825  1.796701280 1.0011167
z_listing[195]   0.0363101682 0.969230709 -1.4608261070  1.606051250 1.0004339
z_listing[196]   0.0334244809 0.881819649 -1.3814889625  1.449839175 1.0012305
z_listing[197]   0.0474297586 0.967465786 -1.4978633915  1.586205298 1.0016454
z_listing[198]   0.1238711139 0.936064722 -1.3549336435  1.620448539 1.0010444
z_listing[199]   0.0788263308 0.898227995 -1.3520930265  1.489157915 0.9996214
z_listing[200]  -0.0099600729 0.882670593 -1.4612836565  1.406392991 1.0030434
z_listing[201]  -0.3845963834 0.943425512 -1.9164981845  1.151083315 1.0004623
z_listing[202]   0.2940339908 0.818650148 -1.0375585520  1.586325435 0.9996309
z_listing[203]   0.1073675399 0.976526015 -1.4199410125  1.658081577 1.0024515
z_listing[204]  -0.0697578345 0.941661328 -1.5867949975  1.408013717 1.0010616
z_listing[205]   0.0474425733 0.961545782 -1.4594996730  1.591122251 1.0011496
z_listing[206]   0.0557957344 1.005737481 -1.5263422980  1.667567229 1.0014282
z_listing[207]   0.1686646075 0.965070700 -1.3734846545  1.690708072 1.0026581
z_listing[208]   0.6773922487 0.774353842 -0.5914551568  1.904162528 1.0012252
z_listing[209]   0.5659198171 0.840823430 -0.7753352876  1.894595533 1.0007095
z_listing[210]   0.0601881604 0.982888660 -1.5334969755  1.639856626 1.0020006
z_listing[211]   0.3852400193 0.884287516 -1.0303253170  1.802619410 1.0028845
z_listing[212]  -0.2320799238 0.891728477 -1.6662555275  1.158271229 0.9999835
z_listing[213]  -1.0783246526 0.603254069 -2.0484567795 -0.121317102 1.0015232
z_listing[214]  -0.0529656170 0.975134921 -1.6262252075  1.461449065 1.0010612
z_listing[215]   0.1616998161 0.978215734 -1.3597840200  1.721215199 1.0001209
z_listing[216]  -1.2481692889 0.879557843 -2.6785698435  0.149804275 1.0000734
z_listing[217]   0.0524413211 0.986893354 -1.4539294630  1.620214959 1.0020161
z_listing[218]  -1.7861322596 0.826330957 -3.1042995050 -0.469422965 1.0012783
z_listing[219]   0.0855226955 0.993469743 -1.4803634040  1.702381618 1.0004145
z_listing[220]  -0.6907091808 0.974831473 -2.2792403650  0.884284616 1.0021550
z_listing[221]  -0.1398933808 0.921726261 -1.6104089705  1.319155818 1.0000420
z_listing[222]  -0.7144765634 0.677027932 -1.8028462385  0.387093166 1.0021816
z_listing[223]  -0.0669629088 0.978089331 -1.6178338250  1.490746252 1.0034447
z_listing[224]   0.0490207378 0.982222403 -1.5634948410  1.604376085 1.0029048
z_listing[225]   0.5324995865 0.873913224 -0.8873684824  1.926615281 1.0007051
z_listing[226]  -0.0785855474 0.925436115 -1.5568826710  1.388075014 0.9999908
z_listing[227]  -0.4088949441 0.966570646 -1.9841186875  1.126145453 1.0018388
z_listing[228]   0.2171357677 0.550531922 -0.6703460653  1.108386020 1.0003509
z_listing[229]   0.0489286077 0.935622318 -1.4220080080  1.556288803 1.0015094
z_listing[230]   0.0953857342 0.869472006 -1.3186131040  1.512701515 1.0037760
z_listing[231]  -1.9501019338 0.533538747 -2.7983138170 -1.106820221 1.0011618
z_listing[232]  -0.9997001003 0.772279432 -2.2150348815  0.238093178 1.0011467
z_listing[233]   0.1534406266 0.864811176 -1.1998913520  1.544842362 1.0019310
z_listing[234]   0.1980520010 0.937364715 -1.3092809215  1.676509268 1.0006969
z_listing[235]  -0.0674875682 0.988598610 -1.6124859570  1.472158963 1.0004388
z_listing[236]   0.0852971508 0.908516027 -1.3897166835  1.528517367 0.9999123
z_listing[237]   0.2323732119 0.948413117 -1.2788087100  1.721822597 1.0004253
z_listing[238]   0.6950856765 0.786088978 -0.5534197643  1.954015796 1.0007060
z_listing[239]   0.0451177838 1.004825186 -1.5988368470  1.673999401 0.9998280
z_listing[240]   0.2503014343 0.930045565 -1.2709888490  1.765136006 1.0005207
z_listing[241]   0.1347008295 0.754737071 -1.0743310390  1.361386377 1.0022303
z_listing[242]   0.2397409318 0.945568019 -1.2798631275  1.751105184 0.9997147
z_listing[243]  -0.0848056524 0.982720582 -1.6583276665  1.476470725 1.0004677
z_listing[244]   0.0568763125 1.015746869 -1.5807859535  1.683629130 1.0000813
z_listing[245]   0.1230238399 0.952832866 -1.4073508840  1.668880711 1.0033648
z_listing[246]   0.1137578851 0.704171649 -1.0332474270  1.227233320 1.0001341
z_listing[247]   0.3501324294 0.891936019 -1.0849939725  1.769894910 1.0021623
z_listing[248]   0.2176474869 0.946646221 -1.2903618100  1.748309521 1.0014539
z_listing[249]  -0.1657106376 0.849777234 -1.5492817235  1.208397858 1.0003251
z_listing[250]   0.1349893678 0.860509558 -1.2669373880  1.517135661 1.0010295
z_listing[251]   0.4161552812 0.903883625 -1.0223541105  1.848231969 1.0013882
z_listing[252]   0.1914258123 0.924938024 -1.2750445145  1.673344476 1.0020072
z_listing[253]  -0.2567037944 0.942014752 -1.7542778750  1.257182818 1.0005776
z_listing[254]  -0.0534708110 1.005373181 -1.6469502870  1.555388211 1.0005666
z_listing[255]  -1.1484790320 0.969479661 -2.6867594465  0.408430793 1.0020296
z_listing[256]   0.3319743348 0.938489053 -1.1657590260  1.788713884 0.9999376
z_listing[257]  -0.0367153896 0.835798774 -1.3756571630  1.282518841 0.9995389
z_listing[258]   0.0313506675 0.984445894 -1.5796423460  1.649580382 1.0002804
z_listing[259]   0.1186211688 0.968794186 -1.4078837840  1.662136369 0.9997055
z_listing[260]   0.0794249544 1.009319775 -1.5307948550  1.665196073 1.0015067
z_listing[261]   0.4014488227 0.889052353 -1.0356620435  1.798272604 1.0001357
z_listing[262]  -0.3495325788 0.883235060 -1.7381082525  1.077328612 1.0010552
z_listing[263]   0.5761833785 0.725208070 -0.5646102603  1.751435949 1.0019541
z_listing[264]   0.4616292692 0.718185697 -0.6795939726  1.615596612 1.0001394
z_listing[265]   0.2843715670 0.906869488 -1.1629792790  1.715403681 1.0006237
z_listing[266]   0.0438162723 0.899732679 -1.3905633440  1.487847344 1.0001920
z_listing[267]   0.0385185120 0.965944675 -1.5103666755  1.581543107 1.0010425
z_listing[268]   0.2020675448 0.949357168 -1.2944490825  1.752177782 1.0030302
z_listing[269]   0.0578943071 0.965400436 -1.5007692585  1.568578044 0.9997536
z_listing[270]  -0.4899402776 0.992068131 -2.0546892945  1.154610577 1.0016834
z_listing[271]  -0.6863384573 0.889597410 -2.1152665570  0.710865902 1.0008955
z_listing[272]  -0.3234982371 0.962227991 -1.8983416300  1.246532013 1.0001879
z_listing[273]  -0.2594566831 0.971479320 -1.8594387805  1.313870802 1.0004055
z_listing[274]   0.3194914337 0.893134088 -1.0804720510  1.738563027 1.0017638
z_listing[275]   0.1449210655 0.957773009 -1.3813070895  1.654738572 1.0006399
z_listing[276]   0.5733880267 0.759527284 -0.6603045644  1.796208044 1.0003956
z_listing[277]   0.7081800817 0.816485842 -0.5987820562  1.976519646 1.0025611
z_listing[278]  -0.5484920387 0.949950282 -2.0436244205  0.987145225 1.0003224
z_listing[279]  -0.3810554125 0.992394713 -2.0000488615  1.228560109 1.0011455
z_listing[280]  -0.0787647942 0.993906555 -1.6666736255  1.491965197 1.0026076
z_listing[281]   0.5508388777 0.342907699  0.0008897018  1.093929942 1.0002411
z_listing[282]  -0.5564291240 0.922016270 -2.0642428010  0.884967764 1.0025679
z_listing[283]  -0.1844179977 0.969205541 -1.7367901695  1.400479215 1.0004915
z_listing[284]  -0.1086661757 0.933844282 -1.5851175850  1.358394405 1.0011639
z_listing[285]  -1.5817251280 0.355107422 -2.1478510035 -1.026373834 1.0040814
z_listing[286]   0.1918006165 0.928112662 -1.3038737560  1.718934200 1.0000904
z_listing[287]   0.1815766709 0.943263089 -1.3358739360  1.663771141 1.0017900
z_listing[288]  -1.1006674183 0.799941182 -2.3974607855  0.189315549 1.0009638
z_listing[289]   0.0736186091 0.995351652 -1.5130504485  1.664706868 1.0033413
z_listing[290]   0.4760014046 0.751870016 -0.7135883724  1.683122035 1.0057835
z_listing[291]  -0.6075508132 0.910270037 -2.0703319430  0.823893651 1.0012741
z_listing[292]  -0.0432014211 0.941697461 -1.5708598735  1.464875027 1.0019071
z_listing[293]  -0.5383078572 0.788653605 -1.8073072925  0.750015088 1.0021699
z_listing[294]  -0.2503415044 0.888292880 -1.6608468865  1.135061270 1.0004539
z_listing[295]  -0.2146243757 0.970215219 -1.7641971170  1.323899786 1.0001654
z_listing[296]  -0.4260400490 0.995503548 -2.0230873020  1.154083844 1.0013288
z_listing[297]  -0.3327951503 0.875255758 -1.7253159665  1.038808878 1.0019240
z_listing[298]  -0.1679096898 0.942150234 -1.6647378000  1.336616980 0.9997006
z_listing[299]   0.0788557346 1.013934808 -1.5197618195  1.697553939 1.0005820
z_listing[300]   0.1107056410 0.968581524 -1.4539253645  1.681503975 1.0009186
z_listing[301]  -1.3089598984 0.637191940 -2.3587246010 -0.273004241 0.9997267
z_listing[302]   0.4925232208 0.802318338 -0.7974497384  1.761952735 1.0004513
z_listing[303]  -0.0651260330 0.975111022 -1.5905060970  1.473888452 1.0011441
z_listing[304]   0.1208081676 0.988167575 -1.4412470610  1.690285291 1.0009703
z_listing[305]   0.1941933949 0.990821399 -1.3694804200  1.811611930 1.0012411
z_listing[306]  -0.1631790913 0.950292927 -1.6947618280  1.349419946 1.0036086
z_listing[307]  -0.0671418753 0.921674086 -1.5075527540  1.410170047 1.0000751
z_listing[308]   0.0661082671 0.978021584 -1.5161036005  1.648028148 1.0008805
z_listing[309]  -0.0820183284 0.996069446 -1.6403167905  1.527084035 1.0012825
z_listing[310]  -0.5517429576 0.878271628 -1.9713380890  0.863655038 1.0006622
z_listing[311]  -0.6849516982 0.944419301 -2.1880585730  0.820745955 0.9997067
z_listing[312]  -0.0599260682 0.999409020 -1.6487229955  1.522806185 1.0000174
z_listing[313]   0.1279133423 1.011867298 -1.5054914865  1.732445548 1.0003057
z_listing[314]   0.1122453125 0.968914462 -1.4465037445  1.644795235 1.0005357
z_listing[315]   0.7863691245 0.724461229 -0.3846468313  1.940102334 1.0015494
z_listing[316]   0.4042730902 0.878139991 -1.0164398680  1.812984055 1.0016532
z_listing[317]   0.0827352212 0.914350806 -1.3973316860  1.569217404 1.0000538
z_listing[318]   0.4136533253 0.807358171 -0.8705050963  1.724880844 0.9996614
z_listing[319]   0.4439652640 0.892032870 -0.9679199133  1.900348266 1.0028046
z_listing[320]  -0.2070655301 0.962658947 -1.7688713620  1.322098844 1.0016465
z_listing[321]   0.2468889138 0.778884893 -0.9794716454  1.481413101 1.0005917
z_listing[322]   0.7315670209 0.639516731 -0.2738557415  1.761160666 0.9997819
z_listing[323]  -0.1297520291 0.966222825 -1.6540084490  1.402129787 1.0010843
z_listing[324]  -0.8652369426 0.985401373 -2.4038837230  0.716689746 0.9999992
z_listing[325]   0.4456514829 0.830886022 -0.9049616178  1.768573994 1.0008557
z_listing[326]  -0.2530009413 0.963264543 -1.7701268855  1.315964184 1.0005374
z_listing[327]  -0.3275029287 0.998509724 -1.9186080245  1.274778635 1.0015635
z_listing[328]  -0.3780811058 0.981229635 -1.9796878430  1.172644995 1.0003536
z_listing[329]  -0.9248356377 0.960941469 -2.4821191920  0.633033971 1.0017800
z_listing[330]  -1.1199281209 0.811066877 -2.4451529785  0.178850247 1.0012335
z_listing[331]  -0.7751537088 0.826889153 -2.1242653745  0.529006837 1.0008457
z_listing[332]  -0.2765194531 0.858178788 -1.6711234585  1.108968352 1.0025399
z_listing[333]  -0.0585287662 1.007982348 -1.6696043670  1.526788468 1.0019330
z_listing[334]  -0.5088381348 0.950413965 -2.0468628075  1.012919929 1.0017697
z_listing[335]  -0.7836545854 0.981445950 -2.3447998995  0.765809232 1.0011538
z_listing[336]  -0.8025797905 1.010717210 -2.4270353620  0.782886246 1.0009567
