                mean         sd      5.5%      94.5%      rhat  ess_bulk
a[78]      5.3706534 0.32937181 4.8332665  5.8954561 1.0011362 8085.1795
a[79]      5.9876963 0.33432773 5.4622062  6.5212443 1.0002571 6867.9218
a[80]      4.7342836 0.26003339 4.3126170  5.1535804 1.0016552 7664.3706
a[81]      4.3833921 0.33555591 3.8499053  4.9188209 1.0001682 6701.9415
a[82]      4.2158353 0.32763784 3.6953526  4.7461883 1.0009283 6506.9993
a[83]      4.5931881 0.33122880 4.0733703  5.1081860 1.0004243 7512.2481
a[84]      4.8482644 0.33072392 4.3294080  5.3677054 1.0025080 7019.8447
a[85]      5.6532719 0.24836496 5.2539820  6.0481593 1.0013812 6101.9783
a[86]      4.6095299 0.32483032 4.0853155  5.1400364 1.0024446 7348.9536
a[87]      5.6186427 0.31283872 5.1318623  6.1108714 1.0002773 5773.7151
a[88]      5.8424350 0.33501011 5.3095822  6.3910090 1.0005968 6037.3203
a[89]      4.9071877 0.32697891 4.3830424  5.4283124 1.0015217 7104.9794
a[90]      5.3095243 0.33655161 4.7766146  5.8464060 1.0020732 6186.0502
a[91]      5.0994420 0.31952642 4.5941739  5.5968719 1.0014259 6940.6111
a[92]      4.5913165 0.32387965 4.0835922  5.1144583 1.0012321 5816.8723
a[93]      5.1057438 0.32960436 4.5758041  5.6274368 1.0008471 6721.6686
a[94]      6.2328871 0.32296757 5.7134425  6.7517700 0.9993950 6636.7890
a[95]      4.3026844 0.33332618 3.7574938  4.8366973 1.0006933 7354.9527
a[96]      4.5081348 0.24866519 4.1040940  4.9038149 1.0016140 6869.0205
a[97]      5.6158803 0.24313493 5.2264255  6.0104108 1.0004896 7496.7909
a[98]      4.6686055 0.33066835 4.1355937  5.1840883 1.0021754 6957.6333
a[99]      5.4426582 0.32228691 4.9316570  5.9630100 1.0018723 7561.8525
a[100]     4.2656830 0.33097718 3.7455542  4.7925888 0.9996531 7026.3358
a[101]     4.7883577 0.33118638 4.2553762  5.3140510 0.9999716 7487.9541
a[102]     5.4815028 0.32073079 4.9659190  5.9926119 1.0015465 7601.0113
a[103]     4.5035133 0.33112835 3.9822196  5.0415626 1.0043524 6457.1213
a[104]     5.6197578 0.24987832 5.2191896  6.0201045 1.0019806 5921.9635
a[105]     5.5889679 0.32743208 5.0545482  6.1091760 0.9999553 6195.5596
a[106]     6.2514299 0.33498470 5.7159731  6.7754474 1.0016019 6133.4400
a[107]     5.0378027 0.32392331 4.5225341  5.5397638 1.0011441 6205.8100
a[108]     4.4751387 0.32916333 3.9548908  4.9969456 1.0012793 6466.2233
a[109]     4.2763603 0.32730931 3.7589968  4.8118000 1.0001399 6932.8731
a[110]     4.5973580 0.33334808 4.0632931  5.1243923 1.0007373 7044.0590
a[111]     4.4872282 0.33247319 3.9431413  5.0237814 1.0014825 7214.1043
a[112]     5.5198660 0.33260888 4.9915372  6.0389910 1.0003236 6780.0606
a[113]     4.9765731 0.33930203 4.4331723  5.5141477 1.0036084 9007.0385
a[114]     4.7918540 0.31007482 4.3049438  5.2951552 0.9999607 6234.4530
a[115]     5.9399388 0.33069107 5.4152150  6.4715113 1.0007236 6249.9908
a[116]     4.9287452 0.33385970 4.3878052  5.4705454 1.0021130 8249.3364
a[117]     5.1378985 0.32266611 4.6195270  5.6494252 1.0018315 7458.4243
a[118]     5.4751881 0.23872928 5.0965274  5.8488686 1.0002564 7746.6548
a[119]     4.3808841 0.33063089 3.8490861  4.9139163 1.0023145 8318.9820
a[120]     5.5408233 0.32450196 5.0261917  6.0538276 1.0018661 7379.7228
a[121]     4.4891773 0.24517451 4.1013543  4.8854082 1.0001672 6929.9615
a[122]     5.3374551 0.33019262 4.8143702  5.8546044 1.0027475 6117.8010
a[123]     5.2406880 0.32417489 4.7172429  5.7655876 1.0024799 7684.8617
a[124]     5.4392391 0.32261079 4.9224626  5.9511328 1.0012213 6903.6996
a[125]     4.7437835 0.33859661 4.2004317  5.2851289 1.0003275 7935.0041
a[126]     4.9056118 0.31908053 4.3921942  5.4181319 0.9995943 6678.5043
a[127]     4.8004275 0.31711647 4.3012274  5.3090808 0.9995465 7465.0291
a[128]     4.6951801 0.32694576 4.1785670  5.2161877 1.0002293 6794.7874
a[129]     4.9737726 0.32192949 4.4578863  5.4795058 0.9996387 7686.6666
a[130]     4.8100838 0.32513065 4.2836219  5.3343895 0.9997142 6253.2539
a[131]     4.5096979 0.32175127 4.0009772  5.0277573 1.0014026 6467.1075
a[132]     4.6448978 0.32675091 4.1373706  5.1616332 1.0012196 7225.9572
a[133]     4.4934931 0.33285170 3.9596034  5.0370328 1.0003893 7163.3375
a[134]     4.4413690 0.32673292 3.9196002  4.9603345 1.0001766 7585.6282
a[135]     5.6380722 0.32389889 5.1086889  6.1627407 0.9997926 8179.6776
a[136]     5.2426056 0.33581557 4.7124242  5.7859983 1.0007783 7291.3739
a[137]     5.3464684 0.32337841 4.8329990  5.8645298 0.9997663 7221.7413
a[138]     6.2591096 0.32939368 5.7390112  6.7930085 1.0023367 6152.1382
a[139]     5.0762970 0.32939180 4.5500280  5.5961319 1.0012035 6605.1685
a[140]     5.4758624 0.33540191 4.9305718  5.9988974 1.0021671 6168.9661
a[141]     5.1336303 0.32905873 4.5945752  5.6655506 1.0008011 7554.5425
a[142]     5.4279587 0.33274313 4.8890595  5.9583799 1.0005894 7133.4617
a[143]     5.4111339 0.32043828 4.9022198  5.9209529 1.0022132 7249.7577
a[144]     4.4449963 0.32948675 3.9126312  4.9675304 1.0000583 7910.1031
a[145]     4.1865551 0.32208568 3.6784956  4.7055008 1.0002409 6084.9923
a[146]     4.2809960 0.34099259 3.7438197  4.8278550 1.0005480 6311.7405
a[147]     4.6008986 0.33309186 4.0754942  5.1420425 1.0000341 6169.9471
a[148]     5.0671776 0.32327073 4.5564977  5.5807557 1.0041231 6344.7025
a[149]     5.1737567 0.32957338 4.6372918  5.7018646 0.9997900 6335.6376
a[150]     5.0629190 0.32813493 4.5427349  5.5894626 1.0009636 7477.2583
a[151]     4.8672842 0.32186887 4.3535304  5.3737242 1.0000447 7176.4850
a[152]     5.1861766 0.33287890 4.6589094  5.7211656 1.0029619 7583.3117
a[153]     3.7093152 0.32762443 3.1839772  4.2450367 1.0008799 6477.4385
a[154]     5.6121512 0.32619657 5.0924222  6.1215570 1.0006049 7366.4445
a[155]     5.4592856 0.33134057 4.9398590  5.9871135 1.0023611 7755.5091
a[156]     4.9906860 0.32796139 4.4663457  5.5150383 1.0008147 9784.0592
a[157]     4.7842751 0.32559249 4.2631620  5.3167886 1.0017456 7116.6610
a[158]     5.5587781 0.32574815 5.0426653  6.0736533 1.0013351 6964.0998
a[159]     5.4459999 0.32190798 4.9457127  5.9507901 1.0010695 5931.5384
a[160]     5.0494620 0.32592090 4.5232585  5.5672329 1.0017477 7041.1386
a[161]     5.9315074 0.33230723 5.3896179  6.4570986 0.9999282 6242.0625
a[162]     4.5045927 0.34072645 3.9555645  5.0468845 1.0010435 7421.7664
a[163]     5.4082473 0.33796280 4.8695145  5.9503653 1.0003358 7073.3997
a[164]     5.7371873 0.32961416 5.1993570  6.2510620 1.0007433 6551.5797
a[165]     4.7826234 0.32174606 4.2684556  5.2867544 1.0011501 7333.7880
a[166]     4.6913758 0.32212774 4.1794226  5.2093693 1.0013085 6187.8845
a[167]     5.4103340 0.33832081 4.8693563  5.9402225 1.0003871 7573.7244
a[168]     4.8649407 0.24733763 4.4665798  5.2452566 0.9996668 8188.4878
a[169]     4.6959171 0.33185134 4.1707205  5.2223530 1.0012966 6329.1007
a[170]     4.3786274 0.33011791 3.8383977  4.9143815 0.9999664 6821.0100
a[171]     4.3473856 0.32712347 3.8293037  4.8771049 1.0007033 5906.1467
a[172]     5.2604540 0.32057450 4.7500200  5.7715059 1.0005203 7017.9071
a[173]     4.1401385 0.33034378 3.6147447  4.6700404 1.0000659 6415.7598
a[174]     4.9010064 0.31851336 4.3949345  5.4022459 1.0029011 6778.9647
a[175]     5.8495978 0.33367342 5.3193177  6.3812705 0.9993047 6261.9779
a[176]     5.5141391 0.31779463 5.0066851  6.0133350 1.0014874 7422.4686
a[177]     3.8923355 0.33818820 3.3515048  4.4338381 1.0000083 6520.5413
a[178]     5.6975597 0.32752030 5.1898616  6.2226750 0.9995464 6787.0149
a[179]     5.2617509 0.32898441 4.7411800  5.7818942 1.0012322 7258.3885
a[180]     6.7123951 0.32596241 6.1814584  7.2353242 0.9994894 6516.7003
a[181]     5.3395218 0.33242851 4.7910242  5.8658329 1.0008882 6670.0956
a[182]     5.3180185 0.32745979 4.7932625  5.8387995 1.0025875 7456.4858
a[183]     5.9220817 0.34017487 5.3777674  6.4710991 0.9997909 7125.6908
a[184]     5.4791394 0.33041480 4.9470645  6.0147456 1.0010400 7421.3148
a[185]     4.7119271 0.32867394 4.1830996  5.2384469 1.0011513 7009.1831
a[186]     5.0033228 0.32763094 4.4878239  5.5151311 1.0025453 6114.6901
a[187]     5.1473292 0.32645921 4.6236653  5.6746549 1.0016466 9424.0497
a[188]     5.0782137 0.33180186 4.5475886  5.6077226 1.0009520 6966.8221
a[189]     5.1067276 0.33222661 4.5842884  5.6469802 1.0008503 5394.2821
a[190]     4.8918277 0.32334832 4.3797644  5.4081570 1.0020318 7630.6942
a[191]     5.1089570 0.33448365 4.5785553  5.6394839 1.0010062 7382.8989
a[192]     5.5590292 0.33229205 5.0292278  6.0955438 1.0009503 6960.1216
a[193]     4.7442444 0.32963142 4.2061425  5.2584474 1.0003070 7083.4960
a[194]     5.1142315 0.32812383 4.5959572  5.6481740 1.0001978 6538.7019
a[195]     5.3298115 0.32623617 4.8138293  5.8491338 1.0004263 6747.5000
a[196]     5.2490836 0.32755122 4.7277403  5.7807581 1.0011586 6803.9185
a[197]     5.0075866 0.33505873 4.4768518  5.5455785 1.0015872 6818.6910
a[198]     4.4120677 0.33460333 3.8761464  4.9515373 1.0032013 7405.3794
a[199]     4.4766918 0.32854201 3.9623616  5.0115693 1.0015859 7172.3358
a[200]     5.9919097 0.32719850 5.4797778  6.5037803 1.0028736 5472.9483
a[201]     5.1617445 0.33754325 4.6172382  5.7063069 1.0026991 7863.2144
a[202]     4.0307466 0.32770278 3.4993577  4.5590411 1.0010362 7390.0533
a[203]     4.2786312 0.33049821 3.7601984  4.8138940 1.0010647 8906.1689
a[204]     5.5998146 0.32769637 5.0760497  6.1240336 1.0022414 6014.5606
a[205]     5.4716148 0.33244311 4.9341543  5.9890631 1.0002049 7626.8147
a[206]     5.1019455 0.32336830 4.5965173  5.6270251 1.0001411 7365.4612
a[207]     6.0549868 0.33237139 5.5328845  6.5887622 0.9998994 5382.1338
a[208]     6.0618946 0.32295007 5.5472701  6.5778832 1.0008883 7154.8860
a[209]     5.4746633 0.33827681 4.9328811  6.0172818 1.0003033 6625.2667
a[210]     6.3082970 0.33937046 5.7656259  6.8414870 0.9999321 6889.9927
a[211]     4.7267463 0.32940151 4.1986858  5.2554441 1.0017694 6188.9802
a[212]     5.0522542 0.32246644 4.5468491  5.5726238 1.0003273 6595.7234
a[213]     5.1144986 0.33445263 4.5802813  5.6430352 0.9998400 7154.3707
a[214]     5.1997595 0.33254891 4.6744184  5.7213551 1.0041241 6520.9579
a[215]     5.2589094 0.31963536 4.7444803  5.7610672 1.0024312 7842.7937
a[216]     4.3241207 0.33846875 3.7786934  4.8719834 1.0002325 6997.9711
a[217]     6.2435544 0.15280218 5.9950305  6.4901921 1.0005849 7431.3177
a[218]     5.0638853 0.32809115 4.5541211  5.5946959 0.9998901 7269.2082
a[219]     4.2596240 0.32817047 3.7405526  4.7892301 1.0020763 7061.7443
a[220]     5.2529662 0.33503717 4.7223482  5.8006049 1.0038994 7847.7185
a[221]     5.3266921 0.33518039 4.7755541  5.8666282 0.9999211 7742.3036
a[222]     5.7984928 0.33253584 5.2604045  6.3330628 1.0003178 6726.5647
a[223]     4.9009378 0.33420916 4.3607600  5.4315372 1.0006728 7205.4699
a[224]     4.6185956 0.32391107 4.0832128  5.1425639 1.0014897 7048.1584
a[225]     4.6925909 0.32380587 4.1605104  5.2104561 1.0008462 5887.9205
a[226]     5.0812579 0.32667788 4.5606082  5.5999598 1.0016611 6373.4992
a[227]     4.9730190 0.33432134 4.4307018  5.5122182 1.0018166 6292.0427
a[228]     5.9968668 0.33821439 5.4489018  6.5299970 1.0016541 7122.3065
a[229]     5.2163321 0.32906590 4.6957645  5.7415325 1.0007606 7591.7594
a[230]     4.9929345 0.33081979 4.4627749  5.5345440 1.0011963 7378.2596
a[231]     4.9515117 0.32602935 4.4328466  5.4703821 1.0009526 7700.8531
a[232]     4.9173530 0.33600307 4.3969786  5.4611039 1.0011648 6811.2133
a[233]     4.4818590 0.32660135 3.9541843  5.0110190 0.9999936 7337.8409
a[234]     5.5688081 0.32675335 5.0504955  6.0986680 1.0010484 6740.8378
a[235]     5.0035095 0.32501932 4.4919903  5.5219833 1.0007687 6110.3841
a[236]     5.9312696 0.33746120 5.3767816  6.4525400 1.0004951 6656.6366
a[237]     4.4923306 0.32230445 3.9759546  5.0067860 1.0010243 7997.0214
a[238]     5.1311964 0.32140108 4.6185170  5.6431533 1.0022098 5834.4462
a[239]     4.7658681 0.32990900 4.2480625  5.2936594 1.0021086 7335.5982
a[240]     5.8662129 0.33476898 5.3344007  6.3948248 1.0010603 6665.0876
a[241]     5.7368027 0.33000457 5.2161500  6.2622150 1.0001913 6890.3911
a[242]     5.0946936 0.32639104 4.5631926  5.6106536 1.0016566 7096.6345
a[243]     5.4605704 0.31747134 4.9591903  5.9676140 0.9996475 6048.5566
a[244]     5.7680265 0.33033507 5.2310393  6.2999417 1.0009972 7971.4621
a[245]     6.7867477 0.32778787 6.2786528  7.3128862 1.0007518 6498.9917
a[246]     4.4278971 0.33843642 3.8858871  4.9761220 1.0068325 6663.7522
a[247]     5.7259579 0.33278195 5.1901404  6.2571350 1.0037160 7880.2907
a[248]     5.0158507 0.32315324 4.5058806  5.5147728 1.0025370 6880.4867
a[249]     5.5682473 0.32721829 5.0557057  6.1051677 0.9992937 6300.8512
a[250]     5.6541540 0.33072569 5.1211602  6.1911988 1.0018231 7444.6917
a[251]     5.8814055 0.32145774 5.3555921  6.4014773 1.0023108 6428.4154
a[252]     4.9233270 0.33128959 4.3919464  5.4478913 1.0028137 6471.5183
a[253]     5.7599808 0.33100424 5.2295940  6.2874200 1.0015009 5907.2054
