Centered vs non-centered -- same model, different geometry
(rhat and ess over the hyperparameters a_bar and sigma)

               model divergent max_rhat min_ess
     m13.2c centered         0    1.023     150
 m13.2  non-centered         0    1.001     714


m13.2c centered -- hyperparameters

          mean         sd      5.5%     94.5%     rhat ess_bulk
a_bar 2.877291 0.09223285 2.7303683 3.0256022 1.007293 501.4395
sigma 0.623677 0.09710018 0.4716316 0.7785996 1.022600 149.8814


m13.2 non-centered -- hyperparameters

           mean         sd      5.5%     94.5%     rhat ess_bulk
a_bar 2.8760853 0.09448387 2.7303574 3.0307775 1.000963 932.4039
sigma 0.6166877 0.10255011 0.4556542 0.7862754 1.000586 714.1336


m13.2 non-centered -- all parameters

           mean        sd     5.5%    94.5%      rhat ess_bulk
a[1]   2.905539 0.6352772 1.943091 3.918930 1.0015619 2021.939
a[2]   2.901399 0.6350082 1.905017 3.920700 1.0031626 2154.593
a[3]   2.888004 0.6378927 1.881254 3.951019 1.0053846 2529.188
a[4]   2.906866 0.6256301 1.949238 3.952942 1.0025507 2184.943
a[5]   2.896226 0.6142238 1.913153 3.940433 1.0002075 2255.621
a[6]   2.919694 0.6200158 1.924383 3.914710 0.9994606 2286.891
a[7]   2.904799 0.5822735 1.970965 3.852156 1.0006938 2445.587
a[8]   2.899291 0.6005352 1.949750 3.839929 0.9999770 2100.462
a[9]   2.896527 0.6201686 1.947926 3.904957 1.0000865 2050.910
a[10]  2.890830 0.6168259 1.875862 3.847221 1.0024791 2075.460
a[11]  2.878753 0.6154321 1.855560 3.875799 1.0008563 2616.675
a[12]  2.892989 0.6556689 1.878835 3.949282 1.0005563 2602.839
a[13]  2.525470 0.6062405 1.547904 3.474811 1.0007277 2249.216
a[14]  2.895390 0.6275347 1.909035 3.873242 1.0008410 2094.620
a[15]  2.930824 0.6304456 1.955617 3.966977 1.0019476 2199.197
a[16]  2.899341 0.6593414 1.839122 3.965280 1.0053930 2128.143
a[17]  2.893913 0.5989631 1.933208 3.865489 1.0000884 2021.045
a[18]  2.905640 0.6512482 1.907989 3.928785 1.0029222 2636.290
a[19]  2.911164 0.6142877 1.922773 3.915368 0.9996145 2334.128
a[20]  2.903793 0.5986273 1.965392 3.858700 1.0011877 2731.173
a[21]  2.906267 0.6318886 1.936939 3.911627 1.0011619 2678.951
a[22]  2.893746 0.6118415 1.930533 3.879925 1.0019018 2116.098
a[23]  2.901023 0.6174821 1.936238 3.928582 1.0001797 2309.413
a[24]  2.929046 0.6059302 1.993907 3.919155 1.0033670 2573.164
a[25]  2.911988 0.6131104 1.960417 3.911675 1.0020123 2292.232
a[26]  2.927369 0.6301216 1.935895 3.923124 1.0011931 2070.751
a[27]  2.948031 0.6003615 2.046854 3.961743 1.0035366 2393.034
a[28]  2.894609 0.6265749 1.919324 3.915262 0.9996944 2114.031
a[29]  2.540261 0.6240790 1.512124 3.515130 1.0007205 1991.549
a[30]  2.928108 0.6114870 1.950442 3.894402 1.0031932 2002.310
a[31]  2.913137 0.6453636 1.895853 3.962542 0.9995406 2189.649
a[32]  2.932212 0.6314566 1.940838 3.933152 1.0032649 2235.834
a[33]  2.932138 0.6131175 1.966140 3.932925 1.0015386 2264.133
a[34]  2.932388 0.6048840 1.958972 3.903562 1.0026509 2290.562
a[35]  2.931023 0.5957604 1.952962 3.922448 1.0046984 2132.285
a[36]  2.941491 0.6445115 1.910001 3.991717 1.0021567 2352.580
a[37]  2.927127 0.6143839 1.969450 3.917070 0.9999442 2052.945
a[38]  2.912981 0.6083126 1.942879 3.877501 1.0005391 2202.817
a[39]  2.895781 0.5715636 2.002671 3.828627 1.0003420 1860.102
a[40]  2.929818 0.6205940 1.952910 3.939149 1.0005738 2114.791
a[41]  2.571661 0.6165648 1.580301 3.556782 1.0004140 2089.871
a[42]  2.966331 0.6121469 1.995181 3.950661 1.0017894 2033.685
a[43]  2.573932 0.6285342 1.566092 3.553743 1.0022088 2236.443
a[44]  2.562097 0.6083454 1.609276 3.519429 1.0066514 2225.611
a[45]  2.958521 0.5929440 2.039856 3.960046 1.0027292 2462.111
a[46]  2.925892 0.6104756 2.024682 3.897777 1.0004527 2638.918
a[47]  2.949382 0.6022408 1.975443 3.920217 1.0019975 1816.351
a[48]  2.947709 0.6001544 1.999591 3.943059 1.0003840 2104.654
a[49]  2.574862 0.6244118 1.583106 3.606204 1.0009551 1738.093
a[50]  2.556467 0.6077402 1.573671 3.508907 1.0001640 2152.120
a[51]  2.950900 0.6014570 2.053193 3.934278 1.0040435 2270.198
a[52]  2.949272 0.6060552 2.021458 3.940827 1.0017425 2180.781
a[53]  2.579247 0.5918372 1.590256 3.512622 1.0072299 2281.393
a[54]  2.928687 0.6128589 1.973801 3.900749 1.0042566 2347.179
a[55]  2.964868 0.5974966 2.044090 3.935225 1.0030736 2449.023
a[56]  2.961108 0.6074420 1.998171 3.924136 1.0008743 2089.640
a[57]  2.972934 0.6010462 2.026059 3.991543 1.0002520 1927.652
a[58]  2.963394 0.6127970 1.986370 3.956353 1.0019621 2118.549
